,Survived,Pclass,Age,SibSp,Parch,Fare,female,male,CA. 2343,1601,347082,3101295,347088,CA 2144,S.O.C. 14879,382652,LINE,PC 17757,C23 C25 C27,G6,B96 B98,C22 C26,D,F33,E101,F2,B49,E25,S,C,Q
70,0,0.5,0.39683337521990447,0.0,0.0,0.020494635090094415,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
73,0,1.0,0.32143754712239253,0.125,0.0,0.028212719478023115,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
74,1,1.0,0.39683337521990447,0.0,0.0,0.11027245763075773,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75,0,1.0,0.3088715757728072,0.0,0.0,0.014931805565640218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
77,0,1.0,0.36792055349407915,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,1,0.5,0.005152048253329982,0.0,0.3333333333333333,0.056604230248832196,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
79,1,1.0,0.37170143252073384,0.0,0.0,0.024349578357040744,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
80,0,1.0,0.2711736617240512,0.0,0.0,0.017566830077223785,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
81,1,1.0,0.35913546117114853,0.0,0.0,0.018542765081513996,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
82,1,1.0,0.36792055349407915,0.0,0.0,0.015200187691820024,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0.0,0.34656948982156316,0.0,0.0,0.09193307740413781,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
84,1,0.5,0.20834380497612465,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
85,1,1.0,0.4093993465694898,0.375,0.0,0.030937139635999665,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
86,0,1.0,0.19577783362653933,0.125,0.5,0.06709553154495196,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
87,0,1.0,0.36792055349407915,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
89,0,1.0,0.2963056044232219,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
90,0,1.0,0.35913546117114853,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
91,0,1.0,0.24604171902488062,0.0,0.0,0.015330377421392339,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
92,0,0.0,0.5727569741140991,0.125,0.0,0.11940564777490723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,0,1.0,0.32143754712239253,0.125,0.3333333333333333,0.04015972542654215,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
94,0,1.0,0.7361146016587082,0.0,0.0,0.014151057562208049,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
95,0,1.0,0.36792055349407915,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
98,1,0.5,0.4219653179190751,0.0,0.16666666666666666,0.044893010197349675,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
99,0,0.5,0.4219653179190751,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100,0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
101,0,1.0,0.36792055349407915,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
102,0,0.0,0.2586076903744659,0.0,0.16666666666666666,0.15085515328815924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,0,1.0,0.4093993465694898,0.0,0.0,0.016891873428256675,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
104,0,1.0,0.4596632319678311,0.25,0.0,0.015468569817999833,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
105,0,1.0,0.34656948982156316,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
106,1,1.0,0.2586076903744659,0.0,0.0,0.014931805565640218,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
107,1,1.0,0.36792055349407915,0.0,0.0,0.015175789316712771,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
108,0,1.0,0.4722292033174164,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
110,0,0.0,0.5853229454636844,0.0,0.0,0.10149724044618187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,0,1.0,0.17692887660216136,0.125,0.0,0.028212719478023115,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
112,0,1.0,0.2711736617240512,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
113,0,1.0,0.24604171902488062,0.125,0.0,0.019177122834302632,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
114,0,1.0,0.20834380497612465,0.0,0.0,0.028220722145058292,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
115,0,1.0,0.2586076903744659,0.0,0.0,0.015468569817999833,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
117,0,0.5,0.35913546117114853,0.125,0.0,0.04098927018018883,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
121,0,1.0,0.36792055349407915,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
122,0,0.5,0.40311636089469716,0.125,0.0,0.058694292654020104,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
124,0,0.0,0.6732847449107816,0.0,0.16666666666666666,0.15085515328815924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,1,1.0,0.14551394822819805,0.125,0.0,0.021942337075458514,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
126,0,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
127,1,1.0,0.2963056044232219,0.0,0.0,0.01393967004027879,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
129,0,1.0,0.5601910027645137,0.0,0.0,0.013614293309848433,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
130,0,1.0,0.4093993465694898,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
131,0,1.0,0.24604171902488062,0.0,0.0,0.013760683560491965,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
132,0,1.0,0.5853229454636844,0.125,0.0,0.028302115124416098,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
133,1,0.5,0.35913546117114853,0.125,0.0,0.050748620223090936,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
134,0,0.5,0.3088715757728072,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
135,0,0.5,0.2837396330736366,0.0,0.0,0.02936744577509929,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
136,1,0.0,0.2334757476752953,0.0,0.3333333333333333,0.051301584996521765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,0,0.0,0.4596632319678311,0.125,0.0,0.10364429745562033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,0,1.0,0.19577783362653933,0.0,0.0,0.01798980030808316,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
141,1,1.0,0.2711736617240512,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
142,1,1.0,0.2963056044232219,0.125,0.0,0.030937139635999665,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
143,0,1.0,0.2334757476752953,0.0,0.0,0.013175122557917838,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
144,0,0.5,0.22090977632571,0.0,0.0,0.022446505098674838,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
145,0,0.5,0.2334757476752953,0.125,0.16666666666666666,0.07173122281533045,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
146,1,1.0,0.33400351847197784,0.0,0.0,0.015216388212891242,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
147,0,1.0,0.10781603417944208,0.25,0.3333333333333333,0.06709553154495196,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
149,0,0.5,0.5224930887157577,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
150,0,0.5,0.6355868308620256,0.0,0.0,0.02444717185746977,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
151,1,0.0,0.2711736617240512,0.125,0.0,0.12999454257145598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
152,0,1.0,0.6921337019351597,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
153,0,1.0,0.5036441316913798,0.0,0.3333333333333333,0.028302115124416098,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
154,0,1.0,0.36792055349407915,0.0,0.0,0.014273049437744325,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
156,1,1.0,0.19577783362653933,0.0,0.0,0.015094396337354966,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
157,0,1.0,0.37170143252073384,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
158,0,1.0,0.36792055349407915,0.0,0.0,0.016908073949327893,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
160,0,1.0,0.5476250314149284,0.0,0.16666666666666666,0.031425107138144774,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
161,1,0.5,0.49736114601658704,0.0,0.0,0.030741952635141623,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
162,0,1.0,0.32143754712239253,0.0,0.0,0.015175789316712771,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
163,0,1.0,0.20834380497612465,0.0,0.0,0.016908073949327893,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
165,1,1.0,0.10781603417944208,0.0,0.3333333333333333,0.04006213192611313,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
166,1,0.0,0.36792055349407915,0.0,0.16666666666666666,0.10735285047192313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
168,0,0.0,0.36792055349407915,0.0,0.0,0.050602229972447406,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
169,0,1.0,0.34656948982156316,0.0,0.0,0.11027245763075773,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
170,0,0.0,0.7612465443578789,0.0,0.0,0.06538764528744409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,1,1.0,0.007288263382759488,0.125,0.16666666666666666,0.021730754366528396,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
173,0,1.0,0.2586076903744659,0.0,0.0,0.015468569817999833,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
175,0,1.0,0.22090977632571,0.125,0.16666666666666666,0.015330377421392339,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
176,0,1.0,0.36792055349407915,0.375,0.16666666666666666,0.049707687947515,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
178,0,0.5,0.37170143252073384,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
179,0,1.0,0.4470972606182458,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
181,0,0.5,0.36792055349407915,0.0,0.0,0.02937564362913533,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
182,0,1.0,0.10781603417944208,0.5,0.3333333333333333,0.06126431989431795,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
184,1,1.0,0.04498617743151546,0.0,0.3333333333333333,0.04298993693898376,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
185,0,0.0,0.36792055349407915,0.0,0.0,0.09759350042902103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,1,1.0,0.36792055349407915,0.125,0.0,0.030253985132996517,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
187,1,0.0,0.5601910027645137,0.0,0.0,0.051822148727810165,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
189,0,1.0,0.4470972606182458,0.0,0.0,0.015411575213749286,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
190,1,0.5,0.39683337521990447,0.0,0.0,0.025374310111545468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
191,0,0.5,0.2334757476752953,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
192,1,1.0,0.2334757476752953,0.125,0.0,0.015330377421392339,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
196,0,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
197,0,1.0,0.5224930887157577,0.0,0.16666666666666666,0.01640390592611157,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
198,1,1.0,0.36792055349407915,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
199,0,0.5,0.2963056044232219,0.0,0.0,0.025374310111545468,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
200,0,1.0,0.34656948982156316,0.0,0.0,0.018542765081513996,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
202,0,1.0,0.4219653179190751,0.0,0.0,0.012678957201736696,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
203,0,1.0,0.5664739884393064,0.0,0.0,0.014102260811993537,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
204,1,1.0,0.22090977632571,0.0,0.0,0.015712553569072387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
206,0,1.0,0.39683337521990447,0.125,0.0,0.030937139635999665,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
